Nr;Kod stanowiska;Kod stacji;WskaŸnik - kod;WskaŸnik;Czas uœredniania;Typ pomiaru;Nazwa strefy
1;DsBialka-CO-1g;DsBialka;CO;tlenek wêgla;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
2;DsBialka-NO2-1g;DsBialka;NO2;dwutlenek azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
3;DsBialka-NOx-1g;DsBialka;NOx;tlenki azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
4;DsBialka-Pb(PM10)-24g;DsBialka;Pb(PM10);o³ów w PM10;24-godzinny;manualny;strefa dolnoœl¹ska_2
5;DsBialka-PM10-1g;DsBialka;PM10;py³ zawieszony PM10;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
6;DsBialka-PM10-24g;DsBialka;PM10;py³ zawieszony PM10;24-godzinny;manualny;strefa dolnoœl¹ska_2
7;DsBialka-SO2-1g;DsBialka;SO2;dwutlenek siarki;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
8;DsBielGrot-NO2-24g;DsBielGrot;NO2;dwutlenek azotu;24-godzinny;manualny;strefa dolnoœl¹ska_2
9;DsBielGrot-SO2-24g;DsBielGrot;SO2;dwutlenek siarki;24-godzinny;manualny;strefa dolnoœl¹ska_2
10;DsBogatFrancMOB-PM10-1g;DsBogatFrancMOB;PM10;py³ zawieszony PM10;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
11;DsBogChop-NO2-1g;DsBogChop;NO2;dwutlenek azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
12;DsBogChop-NOx-1g;DsBogChop;NOx;tlenki azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
13;DsBogChop-PM10-1g;DsBogChop;PM10;py³ zawieszony PM10;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
14;DsBogChop-SO2-1g;DsBogChop;SO2;dwutlenek siarki;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
15;DsBogZatonieMob-PM10-24g;DsBogZatonieMob;PM10;py³ zawieszony PM10;24-godzinny;automatyczny;strefa dolnoœl¹ska_2
16;DsBoleslaMOB-CO-1g;DsBoleslaMOB;CO;tlenek wêgla;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
17;DsBoleslaMOB-NO2-1g;DsBoleslaMOB;NO2;dwutlenek azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
18;DsBoleslaMOB-NOx-1g;DsBoleslaMOB;NOx;tlenki azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
19;DsBoleslaMOB-O3-1g;DsBoleslaMOB;O3;ozon;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
20;DsBoleslaMOB-PM10-1g;DsBoleslaMOB;PM10;py³ zawieszony PM10;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
21;DsBoleslaMOB-SO2-1g;DsBoleslaMOB;SO2;dwutlenek siarki;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
22;DsBrzegGlog-SO2-24g;DsBrzegGlog;SO2;dwutlenek siarki;24-godzinny;manualny;strefa dolnoœl¹ska_2
23;DsChojnowKil-NO2-24g;DsChojnowKil;NO2;dwutlenek azotu;24-godzinny;manualny;strefa dolnoœl¹ska_2
24;DsChojnowKil-SO2-24g;DsChojnowKil;SO2;dwutlenek siarki;24-godzinny;manualny;strefa dolnoœl¹ska_2
25;DsCzar07-NO2-1g;DsCzar07;NO2;dwutlenek azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
26;DsCzar07-NOx-1g;DsCzar07;NOx;tlenki azotu;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
27;DsCzar07-O3-1g;DsCzar07;O3;ozon;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
28;DsCzar07-PM10-1g;DsCzar07;PM10;py³ zawieszony PM10;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
29;DsCzar07-SO2-1g;DsCzar07;SO2;dwutlenek siarki;1-godzinny;automatyczny;strefa dolnoœl¹ska_2
30;DsCzerStraza-As(PM10)-24g;DsCzerStraza;As(PM10);arsen w PM10;24-godzinny;manualny;strefa dolnoœl¹ska_2
