Nr;Kod stacji;Kod miÍdzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkniÍcia;Typ stacji;Typ obszaru;Rodzaj stacji;WojewÛdztwo;MiejscowoúÊ;Adres;WGS84 ? N;WGS84 ? E
1;DsBialka;;Bia≥ka;DsBialka;03.01.1990;31.12.2005;przemys≥owa;podmiejski;kontenerowa stacjonarna;DOLNOåL•SKIE;Bia≥ka;;51.197783;16.117390
2;DsBielGrot;;Bielawa - ul. Grota Roweckiego;DsBielGrot;02.01.1994;31.12.2003;t≥o;miejski;w budynku;DOLNOåL•SKIE;Bielawa;ul. Grota Roweckiego 6;50.682510;16.617348
3;DsBogatFrancMOB;PL0602A;Bogatynia Mobil;DsBogatMob;01.01.2015;31.12.2015;t≥o;miejski;mobilna;DOLNOåL•SKIE;Bogatynia;ul. Francuska/KrÍta;50.940998;14.916790
4;DsBogChop;PL0315A;Bogatynia - Chopina;DsBogChop;01.01.1996;31.12.2013;przemys≥owa;miejski;kontenerowa stacjonarna;DOLNOåL•SKIE;Bogatynia;ul. Chopina 35;50.905856;14.967175
5;DsBogZatonieMob;PL0576A;Bogatynia - Mobil;DsBogZatonieMob;01.01.2012;31.12.2012;przemys≥owa;miejski;mobilna;DOLNOåL•SKIE;Bogatynia;ul. Konrada, Zatonie;50.943245;14.913327
6;DsBoleslaMOB;PL0658A;Boles≥awiec;DsBoleslaMOB;01.01.2017;02.01.2018;t≥o;miejski;mobilna;DOLNOåL•SKIE;Boles≥awiec;Juliusza S≥owackiego 2;51.263245;15.570354
7;DsBrzegGlog;;Brzeg G≥ogowski;DsBrzegGlog;01.01.1980;31.12.2003;przemys≥owa;pozamiejski;w budynku;DOLNOåL•SKIE;Brzeg G≥ogowski;;51.691438;15.917840
8;DsChojnowKil;PL0185A;ChojnÛw,ul.KiliÒskiego;DsChojnowKil;06.01.2004;31.12.2005;t≥o;miejski;kontenerowa stacjonarna;DOLNOåL•SKIE;ChojnÛw;ul. KiliÒskiego;51.268889;15.940278
9;DsCzar07;PL0186A;Czarna GÛra;DsCzar07;01.12.1996;30.09.2008;t≥o;pozamiejski;kontenerowa stacjonarna;DOLNOåL•SKIE;Czarna GÛra;;50.255072;16.801641
10;DsCzerStraza;PL0028A;Czerniawa;DsCzer02;01.07.1996;;t≥o;pozamiejski;kontenerowa stacjonarna;DOLNOåL•SKIE;Czerniawa;ul. Straøacka 7;50.912475;15.312190
